date,open,high,low,close,volume
2018-01-03,268.58,265.7,269.02,265.53,441610
2018-01-02,265.7,263.6,266.4,263.6,414700
2018-01-01,263.6,263.69,264.65,262.12,200640
2017-12-28,263.6,260.46,263.87,260.02,741440
2017-12-27,260.46,261.25,261.94,260.28,301820
2017-12-26,260.63,262.99,264.39,260.28,421440
2017-12-24,262.99,262.64,263.78,259.85,283800
2017-12-21,262.64,262.03,264.65,260.28,395190
2017-12-20,261.68,262.21,262.38,261.42,703720
2017-12-19,262.38,263.17,263.6,261.94,403980
2017-12-18,262.9,263.08,263.34,262.29,726800
2017-12-17,263.08,263.43,263.78,262.82,207060
2017-12-14,263.69,263.95,265.09,263.08,288690
2017-12-13,264.04,265.53,265.96,262.99,256770
2017-12-12,265.61,263.95,266.4,263.08,668770
2017-12-11,264.3,266.4,266.75,263.87,466100
2017-12-10,266.75,268.23,269.54,265.96,255390
2017-12-07,269.54,271.12,271.99,269.11,258050
2017-12-06,271.12,267.45,271.81,266.84,1420000
2017-12-05,267.1,268.15,268.23,266.75,373470
2017-12-04,268.32,262.12,268.93,262.03,999400
2017-12-03,262.73,264.56,264.56,262.21,283760
2017-11-30,263.6,262.99,264.21,262.82,663590
2017-11-29,262.9,263.78,264.65,262.56,366650
2017-11-28,264.04,266.22,266.22,262.47,445400
2017-11-27,264.56,266.4,266.84,263.95,546360
2017-11-26,266.49,269.63,269.8,265.09,519300
2017-11-23,266.84,267.27,270.42,265.79,709480
2017-11-22,267.36,265.53,269.89,265.26,1180000
2017-11-21,266.4,270.77,270.77,265.96,847900
2017-11-20,271.46,264.65,271.81,263.78,1830000
2017-11-19,263.34,260.98,265.53,259.85,1000000
2017-11-16,259.59,257.49,260.28,256.88,1160000
2017-11-15,256.53,251.9,258.01,251.9,1560000
2017-11-14,249.89,244.39,251.55,242.12,1420000
2017-11-13,242.12,241.33,244.56,241.16,783240
2017-11-12,241.42,243.6,243.69,241.16,660680
2017-11-09,243.6,256.88,256.88,241.42,990470
2017-11-07,241.39,241.31,241.8,240.83,786540
