datetime,open,high,low,close,volume,openinterest
2015-02-11 00:00:00,511.67,508.03,517.54,506.09,23080,0
2015-02-10 00:00:00,510.52,523.02,523.02,498.62,38700,0
2015-02-09 00:00:00,501.41,489.15,505.59,488.8,9980,0
2015-02-08 00:00:00,491.29,487.16,492.14,487.16,2390,0
2015-02-05 00:00:00,488.7,493.09,493.09,488.16,30870,0
2015-02-04 00:00:00,489.95,493.14,493.14,487.66,41570,0
2015-02-03 00:00:00,492.89,494.18,495.63,492.29,16270,0
2015-02-02 00:00:00,497.27,495.08,498.62,493.39,8630,0
2015-02-01 00:00:00,495.73,496.13,496.13,492.39,17060,0
2015-01-29 00:00:00,494.83,492.89,496.13,491.74,8130,0
2015-01-28 00:00:00,492.94,493.14,493.14,491.19,9310,0
2015-01-27 00:00:00,492.99,496.13,496.13,492.14,13500,0
2015-01-26 00:00:00,495.13,494.88,496.57,494.18,8160,0
2015-01-25 00:00:00,494.88,492.19,496.87,492.14,13040,0
2015-01-22 00:00:00,493.98,497.52,497.52,493.88,14430,0
2015-01-21 00:00:00,494.93,497.62,498.12,494.63,15020,0
2015-01-20 00:00:00,497.42,497.97,498.12,495.68,9240,0
2015-01-19 00:00:00,498.02,498.62,498.87,497.27,8810,0
2015-01-18 00:00:00,497.67,500.61,500.61,495.63,17070,0
2015-01-15 00:00:00,498.57,500.11,501.85,497.67,29240,0
2015-01-14 00:00:00,498.91,499.61,499.61,497.12,12390,0
2015-01-13 00:00:00,498.67,500.11,500.11,496.62,7110,0
2015-01-12 00:00:00,499.91,499.11,500.51,496.18,11430,0
2015-01-11 00:00:00,499.06,498.12,501.11,495.13,33510,0
2015-01-08 00:00:00,494.98,495.63,495.63,490.65,7130,0
2015-01-07 00:00:00,490.05,490.15,494.58,486.16,6130,0
2015-01-06 00:00:00,492.99,484.67,494.13,484.67,7270,0
2015-01-05 00:00:00,490.15,484.67,493.14,484.67,8550,0
2015-01-01 00:00:00,485.76,480.19,487.16,478.19,4680,0
2014-12-30 00:00:00,485.62,473.26,487.16,473.26,8280,0
2014-12-29 00:00:00,484.57,485.12,486.66,483.42,9810,0
2014-12-28 00:00:00,483.27,484.17,485.17,483.07,9260,0
2014-12-24 00:00:00,483.92,484.67,487.66,482.18,7030,0
2014-12-23 00:00:00,485.02,485.07,487.16,480.98,7340,0
2014-12-22 00:00:00,485.07,489.9,489.9,483.72,7090,0
2014-12-21 00:00:00,485.27,488.65,494.53,478.19,18120,0
2014-12-18 00:00:00,490.7,479.79,494.63,479.74,19110,0
2014-12-17 00:00:00,482.48,476.25,483.17,476.25,8050,0
2014-12-15 00:00:00,480.09,478.19,483.67,475.7,5860,0
2014-12-14 00:00:00,477.1,478.24,483.92,470.72,47980,0
